R-Acetonitrile,Br-Acetonitrile - TW,Re-Acetone-HD,Br-Acetone-TW,Re-Ethyl Acetate-HD,Br-Ethyl Acetate-TW,Re-Chloroform-HD,Re-Methanol - HD,Br-Methanol-TW,Re-ethanol-HD,Br-Ethanol-TW,Re-IPROH-HD,Br-IPROH-TW,
0.546,0.09,0.613,0.179,0.295,0.019,0.23,0.019,0,0.094,0.004,0.481,0.007,510.5
0.546,0.081,0.619,0.161,0.3,0.018,0.233,0.019,0,0.092,0.004,0.477,0.006,511
0.546,0.072,0.624,0.145,0.306,0.016,0.236,0.018,0,0.09,0.003,0.473,0.005,511.5
0.546,0.064,0.629,0.13,0.312,0.015,0.239,0.018,0,0.088,0.003,0.468,0.004,512
0.546,0.057,0.634,0.116,0.318,0.014,0.242,0.017,0,0.086,0.003,0.464,0.004,512.5
0.545,0.051,0.638,0.103,0.324,0.013,0.245,0.016,0,0.085,0.003,0.46,0.003,513
0.545,0.046,0.643,0.092,0.329,0.012,0.248,0.016,0,0.083,0.003,0.455,0.002,513.5
0.544,0.041,0.647,0.082,0.335,0.011,0.251,0.015,0,0.081,0.003,0.45,0.002,514
0.544,0.037,0.652,0.073,0.341,0.01,0.254,0.015,0,0.079,0.003,0.446,0.001,514.5
0.543,0.033,0.656,0.066,0.347,0.009,0.257,0.014,-0.001,0.077,0.003,0.441,0.001,515
0.542,0.03,0.661,0.058,0.353,0.008,0.26,0.014,-0.001,0.075,0.003,0.436,0.001,515.5
0.541,0.027,0.665,0.052,0.36,0.008,0.263,0.013,0,0.074,0.003,0.431,0,516
0.539,0.024,0.669,0.046,0.366,0.007,0.267,0.013,0,0.072,0.003,0.426,0,516.5
0.538,0.022,0.673,0.041,0.372,0.007,0.27,0.012,0,0.07,0.003,0.421,0,517
0.537,0.02,0.677,0.037,0.379,0.006,0.272,0.012,-0.001,0.068,0.003,0.416,0,517.5
0.535,0.018,0.681,0.033,0.385,0.005,0.276,0.012,-0.001,0.067,0.003,0.41,-0.001,518
0.533,0.016,0.685,0.03,0.391,0.005,0.278,0.011,-0.001,0.065,0.003,0.405,-0.001,518.5
0.532,0.015,0.688,0.027,0.398,0.005,0.282,0.011,-0.001,0.063,0.003,0.4,-0.001,519
0.53,0.014,0.692,0.024,0.404,0.004,0.284,0.01,-0.001,0.062,0.003,0.395,-0.001,519.5
0.528,0.013,0.695,0.022,0.411,0.004,0.287,0.01,-0.001,0.06,0.002,0.389,-0.001,520
0.526,0.012,0.699,0.02,0.418,0.004,0.29,0.01,-0.001,0.058,0.003,0.384,-0.001,520.5
