LiCl,,,,,,,NaI,,,,,,,
Br Pure,r+50,Br+100,Br+150,Br+200,Br+250 ,,Br Pure,Br+50,Br+100,Br+150,Br+200,Br+250,,
0.379,0.087,0.016,0.005,-0.003,-0.006,,0.123,0.034,0.003,-0.001,-0.004,-0.003,468,
0.387,0.088,0.016,0.005,-0.003,-0.006,,0.126,0.035,0.003,-0.002,-0.004,-0.003,468.5,
0.395,0.09,0.016,0.005,-0.003,-0.006,,0.13,0.036,0.003,-0.002,-0.004,-0.003,469,
0.402,0.092,0.017,0.005,-0.003,-0.006,,0.134,0.037,0.003,-0.002,-0.004,-0.003,469.5,
0.41,0.093,0.017,0.005,-0.003,-0.006,,0.137,0.037,0.003,-0.002,-0.004,-0.003,470,
0.418,0.094,0.017,0.005,-0.003,-0.006,,0.141,0.038,0.003,-0.002,-0.004,-0.003,470.5,
0.425,0.096,0.017,0.005,-0.003,-0.006,,0.144,0.039,0.003,-0.002,-0.004,-0.003,471,
0.432,0.098,0.018,0.005,-0.003,-0.006,,0.148,0.04,0.003,-0.002,-0.004,-0.003,471.5,
0.439,0.099,0.018,0.005,-0.003,-0.006,,0.152,0.04,0.003,-0.002,-0.004,-0.003,472,
0.445,0.1,0.018,0.005,-0.003,-0.006,,0.155,0.041,0.003,-0.002,-0.004,-0.003,472.5,
0.451,0.101,0.018,0.005,-0.003,-0.006,,0.159,0.042,0.004,-0.001,-0.004,-0.003,473,
0.457,0.103,0.018,0.005,-0.003,-0.005,,0.162,0.042,0.004,-0.001,-0.004,-0.003,473.5,
0.463,0.104,0.019,0.005,-0.003,-0.005,,0.166,0.043,0.004,-0.001,-0.004,-0.003,474,
0.468,0.105,0.019,0.005,-0.003,-0.005,,0.169,0.043,0.004,-0.001,-0.004,-0.003,474.5,
0.473,0.106,0.019,0.005,-0.003,-0.005,,0.172,0.044,0.004,-0.002,-0.004,-0.003,475,
0.478,0.107,0.019,0.005,-0.003,-0.005,,0.175,0.044,0.004,-0.002,-0.004,-0.002,475.5,
